Airport,Country,IATA code
Badajoz,Spain,BJZ
Bagdad - Baghdad International Airport,Iraq,BGW
Bagdogra,India,IXB
Bahamas - Lynden Pindling International Airport,The Bahamas,NAS
Bahawalpur,Pakistan,BHV
Bahrain - Bahrain International Airport,Bahrain,BAH
Bakersfield (CA),USA,BFL
Baku - Heydar Aliyev International Airport,Azerbaijan,BAK
Ballina,Australia,BNK
Baltimore (MD) - Washington International Airport,USA,BWI
Bamaga,Australia,ABM
Bamako - Bamako-Sénou International Airport,Mali,BKO
Bambari,Central African Republic,BBY
Bandar Seri Begawan - Brunei International Airport,Brunei,BWN
Bandung - Husein Sastranegara International Airport,Indonesia,BDO
Bangalore,India,BLR
Bangassou,Central African Republic,BGU
"Bangkok, Don Muang",Thailand,DMK
"Bangkok, Suvarnabhumi International",Thailand,BKK
Bangor (ME),USA,BGR
Bangui - M'Poko International Airport,Central African Republic,BGF
Banjul - Banjul International Airport (Yundum International),Gambia,BJL
Bannu,Pakistan,BNP
Barcelona,Spain,BCN
Barcelona,Venezuela,BLA
Bardufoss,Norway,BDU
Bari,Italy,BRI
Barisal,Bangladesh,BZL
Baroda,India,BDQ
Barra (the famous tidal beach landing),United Kingdom,BRR
Barranquilla,Colombia,BAQ
Basel,Switzerland,BSL
Basel/Mulhouse,Switzerland/France,EAP
"Basra, Basrah",Iraq,BSR
Basse-Terre - Pointe-à-Pitre International Airport,Guadeloupe,PTP
Basseterre - Robert L. Bradshaw International Airport,Saint Kitts and Nevis,SKB
Bastia,France,BIA
Baton Rouge (LA) - Baton Rouge Metropolitan Airport,USA,BTR
Bayreuth - Bindlacher-Berg,Germany,BYU
Beaumont/Pt. Arthur (TX),USA,BPT
Beckley (WV),USA,BKW
Beef Island - Terrance B. Lettsome,Virgin Islands (British),EIS
Beijing,China,PEK
Beijing - Nanyuan Airport,China,NAY
Beira,Mozambique,BEW
Beirut - Beirut Rafic Hariri International Airport,Lebanon,BEY
Belem - Val de Cans International Airport,Brazil,BEL
Belfast - George Best Belfast City Airport,United Kingdom,BHD
Belfast - Belfast International Airport,United Kingdom,BFS
Belgaum,India,IXG
Belgrad (Beograd) - Belgrade Nikola Tesla International,Serbia,BEG
Belize City - Philip S.W.Goldson International,Belize,BZE
Bellingham (WA),USA,BLI
Belo Horizonte - Tancredo Neves International Airport,Brazil,CNF
Bemidji (MN),USA,BJI
Benbecula,United Kingdom,BEB
Benghazi (Bengasi),Libya,BEN
Benguela,Angola,BUG
Benton Harbour (MI),USA,BEH
Berberati,Central African Republic,BBT
Bergamo/Milan - Orio Al Serio,Italy,BGY
Bergen,Norway,BGO
Bergerac - Roumanieres,France,EGC
Berlin,Germany,BER
"Berlin, Schoenefeld",Germany,SXF
"Berlin, Tegel",Germany,TXL
"Berlin, Tempelhof (ceased operating in 2008)",Germany,THF
Bermuda - L.F. Wade International Airport,Bermuda,BDA
