Airport,Country,IATA code
Cabinda,Angola,CAB
Cagliari,Italy,CAG
Cairns,Australia,CNS
Cairo - Cairo International Airport,Egypt,CAI
Calama - El Loa,Chile,CJC
Calcutta (Kolkata) - Netaji Subhas Chandra,India,CCU
Calgary - Calgary International Airport,Canada,YYC
Cali,Colombia,CLO
Calicut,India,CCJ
Calvi,France,CLY
Cambridge Bay,Canada,YCB
Cambridge Bay,United Kingdom,CBG
Campbeltown,United Kingdom,CAL
Campo Grande,Brazil,CGR
Canberra - Canberra Airport,Australia,CBR
Cancun,Mexico,CUN
Cannes – Mandelieu Airport,France,CEQ
Canouan (island) - Canouan Airport,Saint Vincent & the Grenadines,CIW
Cape Town - Cape Town International Airport,South Africa,CPT
Caracas - Simón Bolívar International Airport,Venezuela,CCS
Cardiff - Cardiff Airport,United Kingdom,CWL
Carlsbad (CA),USA,CLD
Carnarvon,Australia,CVQ
Carnot,Central African Republic,CRF
Carson City (NV),USA,CSN
Casablanca,Morocco,CAS
"Casablanca, Mohamed V",Morocco,CMN
Casa de Campo - La Romana International Airport,Dominican Republic,LRM
Casino,Australia,CSI
Casper (WY),USA,CPR
Castaway,Fiji,CST
Cartagena - Rafael Núñez International Airport,Colombia,CTG
Castries - George F. L. Charles Airport,Saint Lucia,SLU
Catania,Italy,CTA
Cayenne - Cayenne-Rochambeau Airport,French Guiana,CAY
Cottbus - Cottbus-Drewitz Airport,Germany,CBU
Cebu City - Mactan-Cebu International,Philippines,CEB
Cedar City (UT),USA,CDC
Cedar Rapids IA,USA,CID
Ceduna,Australia,CED
Cessnock,Australia,CES
Chabarovsk (Khabarovsk),Russia,KHV
Chambery,France,CMF
Champaign (IL),USA,CMI
Chandigarh - Chandigarh International Airport,India,IXC
Changchun,"Jilin, PR China",CGQ
Chania,Greece,CHQ
"Chaoyang, Beijing - Chaoyang Airport",PR China,CHG
Charleston (SC),USA,CHS
Charleston (WV) - Yeager Airport,USA,CRW
Charlotte (NC),USA,CLT
Charlottesville (VA),USA,CHO
Charters Towers,Australia,CXT
Chattanooga (TN),USA,CHA
Chengdu - Shuangliu,"Sichuan, PR China",CTU
Chennai (Madras),India,MAA
Cheyenne (WY) - Cheyenne Regional Airport,USA,CYS
Chiang Mai - Chiang Mai International Airport,Thailand,CNX
Chiba City,Japan,QCB
"Chicago (IL), Midway",USA,MDW
"Chicago (IL), O'Hare International Airport",USA,ORD
Chicago (IL),USA,CHI
Chichen Itza,Mexico,CZA
Chico (CA),USA,CIC
Chihuahua - Gen Fierro Villalobos,Mexico,CUU
Chios,Greece,JKH
Chipata,Zambia,CIP
Chisinau - Chişinău International Airport,Moldova,KIV
Chita (Tschita),Russia,HTA
Sapporo - New Chitose Airport,Japan,CTS
Chitral,Pakistan,CJL
Chittagong,Bangladesh,CGP
Chongqing - Jiangbei International Airport,"Sichuan, PR China",CKG
Christchurch,New Zealand,CHC
Chub Cay,Bahamas,CCZ
Churchill,Canada,YYQ
Cienfuegos - Jaime González Airport,Cuba,CFG
Cincinnati (OH) - Cincinnati/Northern Kentucky Int'l,USA,CVG
Ciudad Del Carmen,Mexico,CME
Ciudad Guayana,Venezuela,CGU
Ciudad Juarez,Mexico,CJS
Ciudad Obregon,Mexico,CEN
Ciudad Victoria,Mexico,CVM
Clarksburg (WV),USA,CKB
Clermont,Australia,CMQ
Clermont Ferrand,France,CFE
"Cleveland (OH) , Burke Lakefront",USA,BKL
Cleveland (OH) - Cleveland Hopkins International,USA,CLE
Cochabamba,Bolivia,CBB
Cochin,India,COK
Cody/Powell/Yellowstone (WY),USA,COD
Coffmann Cove (AK),USA,KCC
Coffs Harbour,Australia,CFS
Coimbatore,India,CJB
Colima,Mexico,CLQ
College Station/Bryan (TX),USA,CLL
Collinsville,Australia,KCE
Cologne - Cologne Airport (Flughafen Köln/Bonn),Germany,CGN
Colombo - Bandaranaike International Airport,Sri Lanka,CMB
Colorado Springs (CO),USA,COS
Columbia (SC) - Columbia Metropolitan Airport,USA,CAE
Columbus (GA),USA,CSG
Columbus (OH) - Port Columbus International,USA,CMH
Conakry - Conakry International Airport,Guinea,CKY
Concord (CA) - Buchanan Field,USA,CCR
Concord (NH) - Concord Municipal Airport,USA,CON
Constantine,Algeria,CZL
Constanta (Constanța) - Constanta Int'l Airport,Romania,CND
Coober Pedy,Australia,CPD
Cooktown,Australia,CTN
Cooma,Australia,OOM
Copenhagen - Copenhagen Airport,Denmark,CPH
Cordoba,Argentina,COR
Cordoba,Spain,ODB
Cordova (AK),USA,CDV
Corfu,Greece,CFU
Cork,Ireland,ORK
Corpus Christi (TX),USA,CRP
Cotonou - Cotonou Cadjehoun Airport,Benin,COO
Coventry - Baginton,United Kingdom,CVT
Cozmel,Mexico,CZM
Craig (AK),USA,CGA
Crescent City (CA),USA,CEC
Cuiaba - Marechal Rondon International Airport,Brazil,CGB
Culiacan,Mexico,CUL
Curacao - Curaçao International Airport,Netherlands Antilles,CUR
Curitiba - Afonso Pena International Airport,Brazil,CWB
Cuyo,Philippines,CYU
