Airport,Country,IATA code
Dakar - Léopold Sédar Senghor International Airport,Senegal,DKR
Dalaman,Turkey,DLM
Dalby,Australia,DBY
Dalian - Zhoushuizi International Airport,"Liaoning, PR China",DLC
"Dallas (TX) , Love Field",USA,DAL
Dallas/Ft. Worth (TX) - Dallas/Fort Worth International,USA,DFW
Daloa,Cote d'Ivoire,DJO
"Damascus, International",Syria,DAM
"Dammam, King Fahad International",Saudi Arabien,DMM
Danville (VA),USA,DAN
Dar es Salam (Daressalam) - Julius Nyerere Int'l,Tanzania,DAR
Darwin,Australia,DRW
Daydream Island,Australia,DDI
Dayton (OH),USA,DAY
Daytona Beach (FL),USA,DAB
Decatur (IL),USA,DEC
Deer Lake/Corner Brook,Canada,YDF
Delhi - Indira Gandhi International Airport,India,DEL
Den Haag (The Hague),Netherlands,HAG
Denizli,Turkey,DNZ
Denpasar/Bali,Indonesia,DPS
Denver (CO) - Denver International Airport,USA,DEN
Dera Ismail Khan - Dera Ismail Khan Airport,Pakistan,DSK
Derby,Australia,DRB
Derry (Londonderry),United Kingdom,LDY
Des Moines (IA) - Des Moines International Airport,USA,DSM
"Detroit (MI) , Coleman A. Young Municipal",USA,DET
"Detroit (MI) , Wayne County Airport",USA,DTW
"Detroit (MI) , Metropolitan Area",USA,DTT
Devils Lake (ND),USA,DVL
Devonport,Australia,DPO
Dhahran,Saudi Arabia,DHA
Dhaka - Zia International Airport,Bangladesh,DAC
Dili - Nicolau Lobato International Airport,Timor Leste (East Timor),DIL
Dillingham (AK),USA,DLG
Dinard,France,DNR
Disneyland Paris,France,DLP
Djerba,Tunisia,DJE
Djibouti (city) - Djibouti-Ambouli International Airport,Djibouti,JIB
Dodoma - Dodoma Airport,Tanzania,DOD
Doha - Doha International Airport,Qatar,DOH
"Doncaster/Sheffield, Robin Hood International Airport",United Kingdom,DSA
Donegal (Carrickfin),Ireland,CFN
Dortmund,Germany,DTM
Dothan (AL),USA,DHN
Douala,Cameroon,DLA
Dresden - Dresden Airport,Germany,DRS
Dubai - Dubai International Airport,United Arab Emirates,DXB
Dubbo,Australia,DBO
Dublin - Dublin International Airport,Ireland,DUB
Dubois (PA),USA,DUJ
Dubrovnik,Croatia (Hrvatska),DBV
Dubuque IA,USA,DBQ
Duesseldorf - Düsseldorf International Airport,Germany,DUS
Duluth (MN) /Superior (WI),USA,DLH
Dundee,United Kingdom,DND
Dunedin,New Zealand,DUD
Dunk Island,Australia,DKI
Durango (CO),USA,DRO
Durban,South Africa,DUR
Dushanbe (Duschanbe) - Dushanbe Airport,Tajikistan,DYU
Dutch Harbor (AK),USA,DUT
Dysart,Australia,DYA
Dzaoudzi,Mayotte,DZA
