Airport,Country,IATA code
East London,South Africa,ELS
Easter Island,Chile,IPC
Eau Clarie (WI),USA,EAU
Edinburgh - Edinburgh Airport,"Scotland, UK",EDI
Edmonton,Canada,YEA
"Edmonton, International",Canada,YEG
"Edmonton, Municipal",Canada,YXD
Egilsstadir,Iceland,EGS
Eindhoven,Netherlands,EIN
Samana - Samaná El Catey International Airport,Dominican Republic,AZS
"Elba Island, Marina Di Campo",Italy,EBA
Elat,Israel,ETH
"Elat, Ovula",Israel,VDA
Elkhart (IN),USA,EKI
Elko (NV),USA,EKO
Ellisras,South Africa,ELL
El Minya,Egypt,EMY
Elmira (NY),USA,ELM
El Paso (TX) - El Paso International Airport,USA,ELP
Ely (NV),USA,ELY
Emerald,Australia,EDR
Emerald,Australia,EMD
Enontekioe,Finland,ENF
Entebbe - Entebbe International Airport,Uganda,EBB
Erfurt - Erfurt Airport (Flughafen Erfurt),Germany,ERF
Erie (PA),USA,ERI
"Eriwan (Yerevan, Jerevan)",Armenia,EVN
Erzincan,Turkey,ERC
Erzurum,Turkey,ERZ
Esbjerg,Denmark,EBJ
Escanaba (MI),USA,ESC
Esperance,Australia,EPR
Eugene (OR),USA,EUG
Eureka (CA),USA,ACV
Evansville (IN),USA,EVV
Evenes,Norway,EVE
Exeter,United Kingdom,EXT
