Airport,Country,IATA code
Fairbanks (AK),USA,FAI
Fair Isle (Shetland),United Kingdom,FIE
Faisalabad,Pakistan,LYP
Fargo (ND) (MN),USA,FAR
Farmington (NM),USA,FMN
Faro,Portugal,FAO
Faroer - Vágar Airport,Denmark,FAE
Fayetteville (AR),USA,FYV
Fayetteville/Ft. Bragg (NC),USA,FAY
Fes,Morocco,FEZ
Figari,France,FSC
Flagstaff (AZ),USA,FLG
Flin Flon,Canada,YFO
Flint (MI),USA,FNT
Florence (Firenze) - Peretola Airport,Italy,FLR
Florence (SC),USA,FLO
Florianopolis,Brazil,FLN
Floro,Norway,FRO
Fort Albert,Canada,YFA
Fortaleza - Pinto Martins Airport,Brazil,FOR
Fort de France - Martinique Aimé Césaire International,Martinique,FDF
Fort Dodge IA,USA,FOD
Fort Huachuca/Sierra Vista (AZ),USA,FHU
Fort Lauderdale/Hollywood (FL),USA,FLL
Fort McMurray,Canada,YMM
"Fort Myers, Metropolitan Area (FL)",USA,FMY
"Fort Myers, Southwest Florida Reg (FL)",USA,RSW
Fort Riley (KS) - Marshall AAF,USA,FRI
Fort Smith,Canada,YSM
Fort Smith (AR),USA,FSM
Fort St. John,Canada,YXJ
Fort Walton Beach (FL),USA,VPS
Fort Wayne (IN),USA,FWA
Fort Worth (TX) - Dallas/Fort Worth International Airport,USA,DFW
Foula (Shetland),United Kingdom,FOU
Francistown,Botswana,FRW
Frankfurt/Main - Frankfurt Airport (Rhein-Main-Flughafen),Germany,FRA
Frankfurt/Hahn,Germany,HHN
Franklin/Oil City (PA),USA,FKL
Fredericton,Canada,YFC
Freeport - Grand Bahama International Airport,Bahamas,FPO
Freetown - Freetown-Lungi International Airport,Sierra Leone,FNA
Frejus,France,FRJ
Fresno (CA),USA,FAT
Friedrichshafen - Bodensee-Airport Friedrichshafen,Germany,FDH
Fuerteventura,Spain,FUE
"Fujairah, International Airport",United Arab Emirates,FJR
Fukuoka,Japan,FUK
Fukushima - Fukushima Airport,Japan,FKS
Funchal,Portugal,FNC
Futuna,Wallis and Futuna Islands,FUT
