Airport,Country,IATA code
Gaborone - Sir Seretse Khama International Airport,Botswana,GBE
Gadsden (AL),USA,GAD
Gainesville (FL),USA,GNV
Galway,Ireland,GWY
Gander,Canada,YQX
Garoua,Cameroon,GOU
Gaza City - Gaza International Airport,Palestinian Territory,GZA
Gaziantep,Turkey,GZT
Gdansk,Poland,GDN
Geelong,Australia,GEX
Geneva - Geneva-Cointrin International Airport,Switzerland,GVA
Genoa,Italy,GOA
George,South Africa,GRJ
Georgetown - Cheddi Jagan International Airport,Guyana,GEO
Geraldton,Australia,GET
Gerona,Spain,GRO
Ghent (Gent),Belgium,GNE
Gibraltar,Gibraltar,GIB
Gilette (WY),USA,GCC
Gilgit,Pakistan,GIL
Gillam,Canada,YGX
Gladstone,Australia,GLT
"Glasgow, Prestwick",United Kingdom,PIK
Glasgow,United Kingdom,GLA
Glasgow (MT),USA,GGW
Glendive (MT),USA,GDV
Goa,India,GOI
"Goiania, Santa Genoveva Airport",Brazil,GYN
Gold Coast,Australia,OOL
Goondiwindi,Australia,GOO
Goose Bay,Canada,YYR
Gorna,Bulgaria,GOZ
Gothenburg (Göteborg) - Landvetter,Sweden,GOT
Gove (Nhulunbuy),Australia,GOV
Govenors Harbour,Bahamas,GHB
Granada,Spain,GRX
Grand Bahama International,Bahamas,FPO
Grand Canyon (AZ),USA,GCN
Grand Cayman - Owen Roberts International,Cayman Islands,GCM
Grand Forks (ND),USA,GFK
Grand Junction (CO),USA,GJT
Grand Rapids (MI),USA,GRR
Grand Rapids (MN),USA,GPZ
Graz,Austria,GRZ
Great Falls (MT),USA,GTF
Great Keppel Island,Australia,GKL
Green Bay (WI),USA,GRB
Greenbrier/Lewisburg (WV),USA,LWB
Greensboro/Winston Salem (NC),USA,GSO
Greenville (MS),USA,GLH
Greenville (NC),USA,PGV
Greenville/Spartanburg (SC),USA,GSP
Grenada - Point Salines Airport also Maurice Bishop,Grenada,GND
Grenoble,France,GNB
Griffith,Australia,GFF
Groningen - Eelde,Netherlands,GRQ
Groote Eylandt - Alyangula,Australia,GTE
Groton/New London (CT),USA,GON
Guadalajara,Mexico,GDL
Guadalcanal,Solomon Islands,GSI
Guam,Guam,GUM
Guangzhou (Canton) - Baiyun International Airport,"Guangdong, PR China",CAN
Sao Paulo - Guarulhos International,Brazil,GRU
Guatemala City - La Aurora International Airport,Guatemala,GUA
Guayaquil - Simon Bolivar,Ecuador,GYE
Guernsey,Channel Islands,GCI
Guettin,Germany,GTI
Gulfport/Biloxi (MS),USA,GPT
Guilin - Liangjiang,"Guangxi, PR China",KWL
Gulu,Uganda,ULU
Gunnison/Crested Butte (CO),USA,GUC
Guwahati,India,GAU
Gwadar,Pakistan,GWD
Gweru,Zimbabwe,GWE
Gympie,Australia,GYP
