Airport,Country,IATA code
Hachijo Jima,Japan,HAC
Hagåtña - Guam International Airport,Guam,GUM
Haifa,Israel,HFA
Haines (AK),USA,HNS
Hakodate,Japan,HKD
Halifax International,Canada,YHZ
Hall Beach,Canada,YUX
Hamburg - Fuhlsbuettel,Germany,HAM
Hamilton,Australia,HLT
Hamilton,Canada,YHM
Hamilton,New Zealand,HLZ
Hamilton Island,Australia,HTI
Hammerfest,Norway,HFT
Hancock (MI),USA,CMX
Hangchow (Hangzhou),"Zhejiang, PR China",HGH
Hannover,Germany,HAJ
Hanoi - Noi Bai International Airport,Vietnam,HAN
Harare - Harare International Airport,Zimbabwe,HRE
Harbin (Haerbin),"Heilongjiang, PR China",HRB
Harlingen/South Padre Island (TX),USA,HRL
"Harrington Harbour, PQ",Canada,YHR
Harrisburg (PA) - Harrisburg Skyport,USA,HAR
Harrisburg (PA) - Harrisburg International,USA,MDT
Hartford (CT) /Springfield (MA),USA,BDL
Hatyai (Hat Yai),Thailand,HDY
Haugesund,Norway,HAU
Havana - José Martí International,Cuba,HAV
Havre (MT),USA,HVR
Hayman Island,Australia,HIS
Helena (MT),USA,HLN
Helsingborg,Sweden,JHE
Helsinki - Vantaa,Finland,HEL
Heraklion,Greece,HER
Hermosillo - Gen. Pesqueira Garcia,Mexico,HMO
Hervey Bay,Australia,HVB
Hibbing (MN),USA,HIB
Hickory (NC),USA,HKY
Hilo (HI),USA,ITO
Hilton Head Island (SC),USA,HHH
Hinchinbrook Island,Australia,HNK
Hiroshima International,Japan,HIJ
Ho Chi Minh City (Saigon) - Tan Son Nhat International,Viet Nam,SGN
Hobart,Australia,HBA
Hof,Germany,HOQ
Holguin,Cuba,HOG
Home Hill,Australia,HMH
Homer (AK),USA,HOM
Hong Kong - International Airport (HKIA),Hong Kong,HKG
Hong Kong - Chek Lap Kok,Hong Kong,ZJK
Honiara Henderson International,Solomon Islands,HIR
Honolulu (HI) - Honolulu International Airport,USA,HNL
Hoonah (AK),USA,HNH
Horta,Portugal,HOR
"Houston (TX) , Hobby",USA,HOU
"Houston, TX - George Bush Intercontinental Airport",USA,IAH
Huahine,French Polynesia,HUH
Huatulco,Mexico,HUX
Hue - Phu Bai,Viet Nam,HUI
Humberside,United Kingdom,HUY
Huntington (WV),USA,HTS
Huntsville (AL),USA,HSV
Hurghada International,Egypt,HRG
Huron (SD),USA,HON
Hwange National Park,Zimbabwe,HWN
Hyannis (MA),USA,HYA
Hydaburg (AK),USA,HYG
Hyderabad - Rajiv Gandhi International Airport,India,HYD
Hyderabad,Pakistan,HDD
