Airport,Country,IATA code
Ibiza,Ibiza/Spain,IBZ
Idaho Falls (ID),USA,IDA
"Iguazu, Cataratas",Argentina,IGR
Ile des Pins,New Caledonia,ILP
Ile Ouen,New Caledonia,IOU
Iliamna (AK),USA,ILI
Imperial (CA),USA,IPL
Incercargill,New Zealand,IVC
"Incheon, Incheon International Airport",Korea South,ICN
Indianapolis (IN) International,USA,IND
Ingham,Australia,IGH
Innisfail,Australia,IFL
Innsbruck - Kranebitten,Austria,INN
International Falls (MN),USA,INL
Inuvik,Canada,YEV
Invercargill,New Zealand,IVC
Inverness,United Kingdom,INV
Inykern (CA),USA,IYK
Iqaluit (Frobisher Bay),Canada,YFB
Iquitos,Peru,IQT
Irkutsk,Russia,IKT
Ishigaki - New Ishigaki Airport,Japan,ISG
Islamabad - Benazir Bhutto International Airport,Pakistan,ISB
Islay,United Kingdom,ILY
Isle of Man, ,IOM
Istanbul - Istanbul Atatürk Airport,Turkey,IST
Istanbul - Sabiha Gokcen,Turkey,SAW
Ithaca/Cortland (NY),USA,ITH
Ivalo,Finland,IVL
Ixtapa/Zihuatenejo,Mexico,ZIH
Izmir,Turkey,IZM
Izmir - Adnan Menderes Airport,Turkey,ADB
