Airport,Country,IATA code
Jackson Hole (WY),USA,JAC
Jackson (MI) - Reynolds Municipal,USA,JXN
"Jackson,  MN  ",USA,MJQ
Jackson (MS) - Jackson Internationall,USA,JAN
Jackson (MS) - Hawkins Field   ,USA,HKS
Jackson (TN) - Mckellar,USA,MKL
Jackson Hole (WY),USA,JAC
Jacksonville (AR)  Little Rock AFB   ,USA,LRF
Jacksonville (FL) - Cecil Field NAS   ,USA,NZC
Jacksonville (FL) Jacksonville NAS   ,USA,NIP
Jacksonville (FL) - International,USA,JAX
Jacksonville (FL) - Craig Municipal   ,USA,CRG
Jacksonville (IL) - Municipal Airport,USA,IJX
Jacksonville (NC),USA,OAJ
Jacksonville (TX),USA,JKV
Jacmel   ,Haiti,JAK
Jacobabad,Pakistan,JAG
Jacobina   ,Brazil,JCM
Jacquinot Bay,Papua New Guinea,JAQ
Jaffna - Kankesanturai,Sri Lanka,JAF
Jagdalpur,India,JGB
Jaipur - Sanganeer,India,JAI
Jaisalmer   ,India,JSA
Jakarta - Halim Perdana Kusuma,Indonesia,HLP
Jakarta - Metropolitan Area,Indonesia,JKT
Jakarta - Soekarno-Hatta International,Indonesia,CGK
Jalalabad    ,Afghanistan,JAA
Jalandhar,India,JLR
Jalapa,Mexico,JAL
Jales,Brazil,JLS
Jaluit Island  ,Marshall Islands,UIT
Jamba,Angola,JMB
Jambi - Sultan Taha Syarifudn,Indonesia ,DJB
Jambol,Bulgaria,JAM
Jamestown (ND),USA,JMS
Jamestown (NY),USA,JHW
Jammu - Satwari,India,IXJ
Jamnagar - Govardhanpur,India,JGA
Jamshedpur - Sonari Airport,India,IXW
Janakpur,Nepal,JKR
Jandakot,Australia,JAD
Janesville (WI) - Rock County,USA,JVL
Januaria,Brazil,JNA
Jaque   ,Panama,JQE
Jatai,Brazil,JTI
Jauja,Peru,JAU
Jayapura - Sentani,Indonesia,DJJ
Jeddah - King Abdulaziz International,Saudi Arabia,JED
Jefferson City (MO) - Jefferson Memorial,USA,JEF
Jeremie - Jeremie Airport,Haiti,JEE
Jerez de la Frontera/Cadiz - La Parra,Spain,XRY
Jersey,Channel Islands,JER
Jerusalem - Atarot Airport (closed),Israel,JRS
Jessore - Jessore Airport,Bangladesh,JSR
Jeypore - Jeypore Airport,India,PYB
Ji'an,"Jiangxi, China",JGS
Jiamusi - Jiamusi Airport,PR China,JMU
Jiayuguan - Jiayuguan Airport,PR China,JGN
Jijel,Algeria,GJL
Jijiga,Ethiopia,JIJ
Jilin,PR China,JIL
Jimma,Ethiopia,JIM
Jinan,"Shandong, PR China",TNA
Jingdezhen,PR China,JDZ
Jinghong - Gasa Airport,PR China,JHG
Jining,PR China,JNG
Jinja,Uganda,JIN
Jinjiang,PR China,JJN
Jinka - Baco/Jinka Airport,Ethiopia,BCO
Jinzhou - Jinzhou Airport,PR China,JNZ
Jipijapa,Ecuador,JIP
Jiri,Nepal,JIR
Jiujiang - Jiujiang Lushan Airport,PR China,JIU
Jiwani,Pakistan,JIW
Joacaba,Brazil,JCB
Joao Pessoa - Castro Pinto Airport,Brazil,JPA
Jodhpur,India,JDH
Jönköping (Jonkoping) - Axamo Airport,Sweden,JKG
Joensuu,Finland,JOE
Johannesburg - OR Tambo International Airport,South Africa,JNB
Johnson City (NY) - Binghamton/Endicott/Johnson,USA,BGM
Johnston Island,USA,JON
Johnstown (PA),USA,JST
Johor Bahru - Sultan Ismail International,Malaysia,JHB
Joinville - Cubatao Airport,Brazil,JOI
Jolo,Philippines,JOL
Jomsom,Nepal,JMO
Jonesboro (AR)  Jonesboro Airport,USA,JBR
Joplin (MO),USA,JLN
Jorhat - Rowriah Airport,India,JRH
Jos,Nigeria,JOS
Jose De San Martin,Argentina,JSM
Jouf,Saudi Arabia,AJF
Juanjui,Peru,JJI
Juba,South Sudan,JUB
Juist (island),Germany,JUI
Juiz De Fora - Francisco De Assis Airport,Brazil,JDF
Jujuy - El Cadillal Airport,Argentina,JUJ
Julia Creek,Australia,JCK
Juliaca,Peru,JUL
Jumla,Nepal,JUM
Jundah,Australia,JUN
Juneau (AK) - Juneau International Airport,USA,JNU
Junin,Argentina,JNI
Juticalpa,Honduras,JUT
Jwaneng,Botswana,JWA
Jyväskylä (Jyvaskyla),Finland,JYV
