Airport,Country,IATA code
Kabul - Khwaja Rawash Airport,Afghanistan,KBL
Kagoshima,Japan,KOJ
Kahramanmaras,Turkey,KCM
Kahului (HI),USA,OGG
Kajaani,Finland,KAJ
Kalamata,Greece,KLX
Kalamazoo/Battle Creek (MI),USA,AZO
Kalgoorlie,Australia,KGI
Kaliningrad,Russia,KGD
Kalispell (MT),USA,FCA
Kalmar,Sweden,KLR
"Kamloops, BC",Canada,YKA
Kamuela (HI),USA,MUE
Kano,Nigeria,KAN
Kanpur,India,KNU
Kansas City (MO) - Kansas City International Airport,USA,MCI
Kaohsiung International,Taiwan,KHH
Kapalua West (HI),USA,JHM
Karachi - Jinnah International Airport,Pakistan,KHI
Karlsruhe-Baden - Soellingen,Germany,FKB
Karlstad,Sweden,KSD
Karpathos,Greece,AOK
Karratha,Australia,KTA
Kars,Turkey,KYS
Karumba,Australia,KRB
Karup,Denmark,KRP
"Kaschechawan, PQ",Canada,ZKE
Kassala,Sudan,KSL
Katherine,Australia,KTR
Kathmandu - Tribhuvan International Airport,Nepal,KTM
Katima Mulilo/Mpacha,Namibia,MPA
Kauhajoki,Finland,KHJ
Kaunakakai (HI),USA,MKK
Kavalla,Greece,KVA
Kayseri,Turkey,ASR
Kazan - Kazan International Airport,Russia,KZN
Keetmanshoop,Namibia,KMP
"Kelowna, BC",Canada,YLW
Kemi/Tornio,Finland,KEM
Kenai (AK),USA,ENA
Kent (Manston) Kent International,United Kingdom,MSE
Kerry County,Ireland,KIR
Ketchikan (AK),USA,KTN
Key West (FL),USA,EYW
Khamis Mushayat,Saudi Arabia,AHB
Kharga - New Valley,Egypt,UVL
Kharkov,Ukraine,HRK
Khartoum - Khartoum International Airport,Sudan,KRT
Khuzdar,Pakistan,KDD
Kiel - Holtenau,Germany,KEL
Kiev - Borispol,Ukraine,KBP
Kiev - Zhulhany,Ukraine,IEV
Kigali - Gregoire Kayibanda,Rwanda,KGL
Kilimadjaro,Tanzania,JRO
Killeem (TX),USA,ILE
Kimberley,South Africa,KIM
King Island,King Island (Australia),KNS
King Salomon (AK),USA,AKN
Kingscote,Australia,KGC
Kingston - Norman Manley,Jamaica,KIN
Kingston (NC),USA,ISO
Kingstown - E. T. Joshua Airport,Saint Vincent and the Grenadines,SVD
Kinshasa - N'Djili,Congo (DRC),FIH
Kiritimati (island) - Cassidy International Airport,Kiribati,CXI
Kirkenes,Norway,KKN
Kirkuk,Iraq,KIK
Kirkwall (Orkney),United Kingdom,KOI
Kiruna,Sweden,KRN
Kisangani,Congo (DRC),FKI
Kittilä,Finland,KTT
Kitwe,Zambia,KIW
Klagenfurt,Austria,KLU
Klamath Fall (OR),USA,LMT
Klawock (AK),USA,KLW
Kleinsee,South Africa,KLZ
Knock,Ireland,NOC
Knoxville (TN),USA,TYS
Kobe,Japan,UKB
Kochi,Japan,KCZ
"Köln, Köln/Bonn",Germany,CGN
Kodiak (AK),USA,ADQ
Kohat,Pakistan,OHT
Kokkola/Pietarsaari,Finland,KOK
Kolkata (Calcutta) - Netaji Subhas Chandra,India,CCU
Komatsu,Japan,KMQ
Kona (HI),USA,KOA
Konya,Turkey,KYA
Korhogo,Cote d'Ivoire,HGO
Kos,Greece,KGS
Kota Kinabalu,Malaysia,BKI
Kotzbue (AK),USA,OTZ
Kowanyama,Australia,KWM
Krakow (Cracow) - John Paul II International Airport,Poland,KRK
Kristiansand,Norway,KRS
Kristianstad,Sweden,KID
Kristiansund,Norway,KSU
Kuala Lumpur - International Airport,Malaysia,KUL
Kuala Lumpur - Sultan Abdul Aziz Shah,Malaysia,SZB
Kuantan,Malaysia,KUA
Kuching,Malaysia,KCH
Kumamoto,Japan,KMJ
Kununurra,Australia,KNX
Kuopio,Finland,KUO
Kushiro,Japan,KUH
Kuujjuaq (FortChimo),Canada,YVP
Kuujjuarapik,Canada,YGW
Kuusamo,Finland,KAO
Kuwait - Kuwait International,Kuwait,KWI
Kyoto,Japan,UKY
