Airport,Country,IATA code
Labe,Guinea,LEK
Labouchere Bay (AK),USA,WLB
Labuan,Malaysia,LBU
"Lac Brochet, MB",Canada,XLB
La Coruna,Spain,LCG
La Crosse (WI),USA,LSE
Lae - Lae Nadzab Airport,Papua New Guinea,LAE
La Rochelle,France,LRH
Lafayette (IN),USA,LAF
"Lafayette, La",USA,LFT
Lagos - Murtala Muhammed Airport,Nigeria,LOS
La Grande,Canada,YGL
Lahore,Pakistan,LHE
Lake Charles (LA),USA,LCH
Lake Havasu City (AZ),USA,HII
Lake Tahoe (CA),USA,TVL
Lakselv,Norway,LKL
Lambarene,Gabon,LBQ
Lamezia Terme,Italy,SUF
Lampedusa,Italy,LMP
Lanai City (HI),USA,LNY
Lancaster (PA),USA,LNS
Land's End,United Kingdom,LEQ
Langkawi (islands),Malaysia,LGK
Lannion,France,LAI
Lanseria,South Africa,HLA
Lansing (MI),USA,LAN
La Paz - El Alto,Bolivia,LPB
La Paz - Leon,Mexico,LAP
Lappeenranta,Finland,LPP
Laramie (WY),USA,LAR
Laredo (TX),USA,LRD
Larnaca,Cyprus,LCA
Las Palmas,Spain,LPA
Las Vegas (NV),USA,LAS
Latrobe (PA),USA,LBE
Launceston,Australia,LST
Laurel/Hattisburg (MS),USA,PIB
Laverton,Australia,LVO
Lawton (OK),USA,LAW
Lazaro Cardenas,Mexico,LZC
Leaf Rapids,Canada,YLR
Learmouth (Exmouth),Australia,LEA
Lebanon (NH),USA,LEB
Leeds/Bradford,United Kingdom,LBA
Leinster,Australia,LER
Leipzig,Germany,LEJ
Lelystad,Netherlands,LEY
Leon,Mexico,BJX
Leonora,Australia,LNO
Lerwick/Tingwall (Shetland Islands),United Kingdom,LWK
Lewiston (ID),USA,LWS
Lewistown (MT),USA,LWT
Lexington (KY),USA,LEX
Libreville,Gabon,LBV
Lidkoeping,Sweden,LDK
Liege,Belgium,LGG
Lifou,"Loyaute, Pazifik",LIF
Lihue (HI),USA,LIH
Lille - Lille Airport,France,LIL
Lilongwe - Lilongwe International,Malawi,LLW
Lima - J Chavez International,Peru,LIM
Limassol,Cyprus,QLI
Limoges,France,LIG
Lincoln (NE),USA,LNK
Lindeman Island,Australia,LDC
Linz - Hoersching,Austria,LNZ
Lisala,Congo (DRC),LIQ
Lisbon - Lisboa,Portugal,LIS
Lismore,Australia,LSY
Little Rock (AR),USA,LIT
Liverpool,United Kingdom,LPL
Lizard Island,Australia,LZR
Ljubljana - Brnik,Slovenia,LJU
Lockhart River,Australia,IRG
Lome,Togo,LFW
London,Canada,YXU
London Metropolitan Area,United Kingdom,LON
London - City Airport,United Kingdom,LCY
London - Gatwick,United Kingdom,LGW
London - Heathrow,United Kingdom,LHR
London - Luton,United Kingdom,LTN
London - Stansted,United Kingdom,STN
Londonderry - Eglinton,United Kingdom,LDY
Long Beach (CA),USA,LGB
Long Island (AK),USA,LIJ
"Long Island, Islip (NY) - Mac Arthur",USA,ISP
Longreach,Australia,LRE
Longview/Kilgore (TX),USA,GGG
Longyearbyen - Svalbard,Svalbard/Norway,LYR
Loreto,Mexico,LTO
Lorient,France,LRT
Los Angeles (CA) - International,USA,LAX
Los Cabos,Mexico,SJD
Los Mochis,Mexico,LMM
Los Rodeos,Teneriffa/Spain,TFN
Losinj - Losinj Arpt,Croatia (Hrvatska),LSZ
Lourdes/Tarbes,France,LDE
Louisville (KY),USA,SDF
Luanda - 4 de Fevereiro,Angola,LAD
Lubbock (TX),USA,LBB
Lucknow,India,LKO
Luederitz,Namibia,LUD
Luga,Malta,MLA
Lugano,Switzerland,LUG
Lulea,Sweden,LLA
Lumbumbashi,Congo (DRC),FBM
Lusaka - Lusaka International Airport,Zambia,LUN
Lusisiki,South Africa,LUJ
Luxembourg,Luxembourg,LUX
Luxi - Mangshi,"Yunnan, PR China",LUM
Luxor,Egypt,LXR
"Lvov (Lwow, Lemberg)",Ukraine,LWO
Lydd - Lydd International Airport,United Kingdom,LYX
Lynchburg (VA),USA,LYH
Lyon - Lyon-Saint Exupéry Airport official website,France,LYS
Lyons (KS) - Rice County Municipal,USA,LYO
