Airport,Country,IATA code
Maastricht/Aachen,Netherlands,MST
Macapa - Alberto Alcolumbre International Airport,Brazil,MCP
Macau - Macau International Airport,"Macau, China SAR",MFM
Maceio - Zumbi dos Palmares International Airport,Brazil,MCZ
Mackay,Australia,MKY
Macon (GA),USA,MCN
Mactan Island - Nab,Philippines,NOP
Madinah (Medina) - Mohammad Bin Abdulaziz,Saudi Arabia,MED
Madison (WI) - Dane County Regional Airport,USA,MSN
Madras (Chennai) - Chennai International Airport,India,MAA
Madrid - Barajas Airport,Spain,MAD
Mahe - Seychelles International,Seychelles,SEZ
Mahon,Spain,MAH
Maitland,Australia,MTL
Majunga,Madagascar,MJN
Makung,Taiwan,MZG
Malabo - Malabo International Airport,Equatorial Guinea,SSG
Malaga,Spain,AGP
Malatya,Turkey,MLX
Male - Velana International Airport,Maledives,MLE
Malindi,Kenya,MYD
Malmo (Malmoe),Sweden,MMA
Malmo (Malmö) - Malmö Airport,Sweden,MMX
Man,Cote d'Ivoire,MJC
Managua - Augusto C Sandino,Nicaragua,MGA
Manaus - Eduardo Gomes International Airport,Brazil,MAO
Manchester,United Kingdom,MAN
Manchester (NH),USA,MHT
Mandalay - Mandalay-Annisaton Airport,Myanmar,MDL
Manguna,Papua New Guinea,MFO
Manihi,French Polynesia,XMH
Manila - Ninoy Aquino International,Philippines,MNL
Manzanillo,Mexico,ZLO
Manzini - Matsapha International,Swaziland,MTS
Maputo - Maputo International,Mozambique,MPM
Mar del Plata,Argentina,MDQ
Maracaibo - La Chinita International,Venezuela,MAR
Maradi,Niger,MFQ
Maras,Turkey,KCM
Marathon (FL),USA,MTH
Mardin,Turkey,MQM
Mare,New Caledonia,MEE
Margate,South Africa,MGH
Margerita,Venezuela,PMV
Maribor,Slovenia,MBX
Mariehamn (Maarianhamina),Finland,MHQ
Maroua,Cameroon,MVR
Marquette (MI),USA,MQT
Marrakesh - Menara Airport,Morocco,RAK
Marsa Alam,Egypt,RMF
Marsa Matrah (Marsa Matruh),Egypt,MUH
Marseille - Marseille Provence Airport,France,MRS
Marsh Harbour,Bahamas,MHH
Martha's Vineyard (MA),USA,MVY
Martinsburg (WV),USA,MRB
Maryborough,Australia,MBH
Maseru - Moshoeshoe International,Lesotho,MSU
Mason City IA,USA,MCW
Masvingo,Zimbabwe,MVZ
"Matsumoto, Nagano",Japan,MMJ
Matsuyama,Japan,MYJ
Mattoon (IL),USA,MTO
Maun,Botswana,MUB
Maupiti,French Polynesia,MAU
Mauritius - S.Seewoosagur Ram International,Mauritius,MRU
Mayaguez,Puerto Rico,MAZ
Mazatlan,Mexico,MZT
McAllen (TX),USA,MFE
Medan - Polania Int'l (now Soewondo AFB),Indonesia,MES
Medan - Kualanamu International,Indonesia,KNO
Medellin - José María Córdova International,Colombia,MDE
Medford (OR),USA,MFR
Medina,Saudi Arabia,MED
Meekatharra,Australia,MKR
Melbourne - Melbourne Airport (Tullamarine),Australia,MEL
Melbourne (FL),USA,MLB
Melville Hall,Dominica,DOM
Memphis (TN),USA,MEM
Mendoza,Argentina,MDZ
Manado,Indonesia,MDC
Merced (CA),USA,MCE
Merida,Mexico,MID
Meridian (MS),USA,MEI
Merimbula,Australia,MIM
Messina,South Africa,MEZ
Metlakatla (AK),USA,MTM
Metz -  Frescaty,France,MZM
Metz/Nancy Metz-Nancy-Lorraine,France,ETZ
Mexicali,Mexico,MXL
Mexico City - Mexico City International Airport,Mexico,MEX
Mexico City - Atizapan,Mexico,AZP
Mexico City - Juarez International,Mexico,MEX
Mexico City - Santa Lucia,Mexico,NLU
Mfuwe,Zambia,MFU
Miami (FL),USA,MIA
Mianwali,Pakistan,MWD
Middlemount,Australia,MMM
Midland/Odessa (TX),USA,MAF
Midway Island - Sand Island Field,US Minor Outlying Islands,MDY
Mikkeli,Finland,MIK
Milan,Italy,MIL
Milan - Linate,Italy,LIN
Milan - Malpensa,Italy,MXP
Milan - Orio Al Serio,Italy,BGY
Mildura,Australia,MQL
Miles City (MT),USA,MLS
Milford Sound,New Zealand,MFN
Milwaukee (WI),USA,MKE
Minatitlan,Mexico,MTT
Mineralnye Vody,Russia,MRV
Minneapolis - St. Paul International Airport (MN),USA,MSP
Minot (ND),USA,MOT
"Minsk, International",Belarus,MSQ
Miri,Malaysia,MYY
Mirpur,Pakistan,QML
Missula (MT),USA,MSO
Mitchell (SD),USA,MHE
Miyako Jima (Ryuku Islands) - Hirara,Japan,MMY
Miyazaki,Japan,KMI
Mkambati,South Africa,MBM
Moanda,Gabon,MFF
Mobile (AL) - Pascagoula (MS),USA,MOB
Modesto (CA),USA,MOD
Moenjodaro,Pakistan,MJD
Mogadishu,Somalia,MGQ
Mokuti,Namibia,OKU
Moline/Quad Cities (IL),USA,MLI
Mombasa - Moi International,Kenya,MBA
Monastir,Tunisia,MIR
Moncton,Canada,YQM
Monroe (LA),USA,MLU
Monrovia - Metropolitan Area,Liberia,MLW
Monrovia - Roberts International,Liberia,ROB
Montego Bay - Sangster International,Jamaica,MBJ
Montenegro,Brazil,QGF
Monterey (CA),USA,MRY
Monterrey - Gen. Mariano Escobedo,Mexico,MTY
Monterrey - Aeropuerto Del Norte,Mexico,NTR
Montevideo - Carrasco International Airport,Uruguay,MVD
Montgomery (AL) - Montgomery Regional Airport,USA,MGM
Montpellier - Montpellier–Méditerranée Airport,France,MPL
Montreal,Canada,YMQ
Montreal - Dorval (Montréal-Trudeau),Canada,YUL
Montreal - Mirabel,Canada,YMX
Montrose/Tellruide (CO),USA,MTJ
Moorea,French Polynesia,MOZ
Moranbah,Australia,MOV
Moree,Australia,MRZ
Morelia,Mexico,MLM
Morgantown (WV),USA,MGW
"Morioka, Hanamaki",Japan,HNA
Moroni - Prince Said Ibrahim,Comoros (Comores),HAH
Moruya,Australia,MYA
Moscow - Metropolitan Area,Russia,MOW
Moscow - Domodedovo,Russia,DME
Moscow - Sheremetyevo,Russia,SVO
Moscow - Vnukovo,Russia,VKO
Moses Lake (WA),USA,MWH
Mossel Bay,South Africa,MZY
Mostar,Bosnia and Herzegovina,OMO
Mosul,Iraq,OSM
Mouila,Gabon,MJL
Moundou,Chad,MQQ
Mount Cook,New Zealand,GTN
Mount Gambier,Australia,MGB
Mount Magnet,Australia,MMG
Mt. Isa,Australia,ISA
Mt. McKinley (AK),USA,MCL
Muenchen (Munich) - Franz Josef Strauss,Germany,MUC
Muenster/Osnabrueck,Germany,FMO
Mulhouse,France,MLH
Multan,Pakistan,MUX
Murcia,Spain,MJV
Murmansk,Russia,MMK
Mus,Turkey,MSR
Muscat - Seeb,Oman,MCT
Muscle Shoals (AL),USA,MSL
Muskegon (MI),USA,MKG
Muzaffarabad,Pakistan,MFG
Mvengue,Gabon,MVB
Mykonos,Greece,JMK
Myrtle Beach (SC) - Myrtle Beach AFB,USA,MYR
Myrtle Beach (SC) - Grand Strand Airport,USA,CRE
Mysore,India,MYQ
Mytilene (Lesbos),Greece,MJT
Mzamba,South Africa,MZF
