Airport,Country,IATA code
Nadi,Fiji,NAN
Nagasaki,Japan,NGS
Nagoya - Komaki AFB,Japan,NGO
Nagpur,India,NAG
Nairobi,Kenya,NBO
Nakhichevan,Azerbaijan,NAJ
Nakhon Si Thammarat,Thailand,NST
Nancy,France,ENC
Nanisivik,Canada,YSR
Nanning,"Guangxi, PR China",NNG
Nantes - Nantes Atlantique Airport,France,NTE
Nantucket (MA),USA,ACK
Naples - Naples Capodichino Airport,Italy,NAP
Naples (FL),USA,APF
Narrabri,Australia,NAA
Narrandera,Australia,NRA
Narsarsuaq,Greenland,UAK
Nashville (TN),USA,BNA
Nassau,Bahamas,NAS
Natal - Augusto Severo International Airport,Brazil,NAT
Nausori,Fiji/Suva,SUV
Nawab Shah,Pakistan,WNS
Naxos - Naxos Airport,Greece,JNX
N'Djamena,Chad,NDJ
N'Dola,Zambia,NLA
Nelson,New Zealand,NSN
Nelspruit,South Africa,NLP
Nelspruit - Kruger Mpumalanga International Airport,South Africa,MQP
Nevis,St. Kitts and Nevis,NEV
New Bern (NC),USA,EWN
New Haven (CT),USA,HVN
"New Orleans, La",USA,MSY
Newquay,United Kingdom,NQY
New Valley - Kharga,Egypt,UVL
New York - John F. Kennedy (NY),USA,JFK
New York - LaGuardia (NY),USA,LGA
New York - Newark (NJ),USA,EWR
New York (NY),USA,NYC
Newburgh (NY),USA,SWF
Newcastle - Belmont,Australia,BEO
Newcastle - Williamtown,Australia,NTL
Newcastle,United Kingdom,NCL
Newcastle,South Africa,NCS
Newman,Australia,ZNE
Newport News/Williamsburg (VA),USA,PHF
N'Gaoundere,Cameroon,NGE
Niagara Falls International,USA,IAG
Niamey,Niger,NIM
Nice - Cote D'Azur Airport,France,NCE
Nicosia,Cyprus,NIC
Nikolaev,Ukraine,NLV
Niigata,Japan,KIJ
Nimes,France,FNI
Nis,Serbia,INI
Nizhny Novgorod - Strigino International Airport,Russia,GOJ
Nome (AK),USA,OME
Noosa,Australia,NSA
Norfolk Island,Australia,NLK
Norfolk/Virginia Beach (VA),USA,ORF
Norman Wells,Canada,YVQ
Norrkoeping,Sweden,NRK
North Bend (OR),USA,OTH
North Eleuthera,Bahamas,ELH
Norwich,United Kingdom,NWI
Nottingham - East Midlands,United Kingdom,EMA
Nouadhibou,Mauritania,NDB
Nouakchott,Mauritania,NKC
Noumea,New Caledonia,NOU
Novi Sad,Serbia,QND
Novosibirsk - Tolmachevo Airport,Russia,OVB
Nürnberg (Nuremberg),Germany,NUE
Nuevo Laredo,Mexico,NLD
Nuku'alofa - Fua'Amotu International,Tonga,TBU
