Airport,Country,IATA code
Oakland (CA),USA,OAK
Oaxaca - Xoxocotlan,Mexico,OAX
Odense,Denmark,ODE
Odessa,Ukraine,ODS
Oerebro,Sweden,ORB
Ohrid,Macedonia,OHD
Oita,Japan,OIT
Okayama,Japan,OKJ
"Okinawa, Ryukyo Island - Naha",Japan,OKA
Oklahoma City (OK) - Will Rogers World,USA,OKC
Olbia,Italy,OLB
Olympic Dam,Australia,OLP
Omaha (NE),USA,OMA
Ondangwa,Namibia,OND
Ontario (CA),USA,ONT
Oran (Ouahran),Algeria,ORN
Orange,Australia,OAG
Orange County (Santa Ana) (CA),USA,SNA
Oranjemund,Namibia,OMD
Oranjestad - Reina Beatrix International,Aruba,AUA
Orkney - Kirkwall,United Kingdom,KOI
Orlando Metropolitan Area (FL),USA,ORL
Orlando - International Airport (FL),USA,MCO
Orpheus Island,Australia,ORS
"Osaka, Metropolitan Area",Japan,OSA
Osaka - Itami,Japan,ITM
Osaka - Kansai International Airport,Japan,KIX
Oshkosh (WI),USA,OSH
Osijek,Croatia (Hrvatska),OSI
"Oslo - Oslo Airport, Gardermoen",Norway,OSL
Oslo - Fornebu,Norway,FBU
Oslo - Sandefjord,Norway,TRF
Ottawa - Hull,Canada,YOW
Ouadda,Central African Republic,ODA
Ouarzazate,Morocco,OZZ
Oudtshoorn,South Africa,OUH
Ouagadougou,Burkina Faso,OUA
Oujda,Morocco,OUD
Oulu,Finland,OUL
Out Skerries (Shetland),United Kingdom,OUK
Oviedo,Spain,OVD
Owensboro (KY),USA,OWB
Oxnard (CA),USA,OXR
Oyem,Gabon/Loyautte,UVE
