Airport,Country,IATA code
Paderborn/Lippstadt,Germany,PAD
Paducah (KY),USA,PAH
Page/Lake Powell (AZ),USA,PGA
Pago Pago,American Samoa,PPG
Pakersburg (WV) /Marietta (OH),USA,PKB
Palermo - Punta Raisi,Italy,PMO
Palma de Mallorca,Spain,PMI
Palmas,Brazil,PMW
Palmdale/Lancaster (CA),USA,PMD
Palmerston North,New Zealand,PMR
Palm Springs (CA),USA,PSP
Panama City - Tocumen International,Panama,PTY
Panama City (FL),USA,PFN
Panjgur,Pakistan,PJG
Pantelleria,Italy,PNL
Papeete - Faaa,French Polynesia (Tahiti),PPT
Paphos,Cyprus,PFO
Paraburdoo,Australia,PBO
Paramaribo - Zanderij International,Suriname,PBM
Paris,France,PAR
Paris - Charles de Gaulle,France,CDG
Paris - Le Bourget,France,LBG
Paris - Orly,France,ORY
Paro,Bhutan,PBH
Pasco (WA),USA,PSC
Pasni,Pakistan,PSI
Patna,India,PAT
Pattaya,Thailand,PYX
Pau,France,PUF
Pellston (MI),USA,PLN
Penang International,Malaysia,PEN
Pendelton (OR),USA,PDT
Pensacola (FL),USA,PNS
Peoria/Bloomington (IL),USA,PIA
Pereira,Colombia,PEI
Perpignan,France,PGF
Perth International,Australia,PER
Perugia,Italy,PEG
Pescara,Italy,PSR
Peshawar,Pakistan,PEW
Petersburg (AK),USA,PSG
Phalaborwa,South Africa,PHW
Philadelphia (PA) - International,USA,PHL
Phnom Penh - Pochentong,Cambodia,PNH
Phoenix (AZ) - Sky Harbor International,USA,PHX
Phuket,Thailand,HKT
Pierre (SD),USA,PIR
Pietermaritzburg,South Africa,PZB
Pietersburg,South Africa,PTG
Pilanesberg/Sun City,South Africa,NTY
Pisa - Galileo Galilei,Italy,PSA
Pittsburgh International Airport (PA),USA,PIT
Plattsburgh (NY),USA,PLB
Plettenberg Bay,South Africa,PBZ
Pocatello (ID),USA,PIH
Podgorica,Montenegro,TGD
Pohnpei,Micronesia,PNI
Pointe a Pitre,Guadeloupe,PTP
Pointe Noire,Congo (ROC),PNR
Poitiers - Biard,France,PIS
Ponce,Puerto Rico,PSE
Ponta Delgada,Portugal,PDL
Pori,Finland,POR
Port Angeles (WA),USA,CLM
Port au Prince,Haiti,PAP
Port Augusta,Australia,PUG
Port Elizabeth,South Africa,PLZ
Port Gentil,Gabon,POG
Port Harcourt,Nigeria,PHC
Port Hedland,Australia,PHE
Portland,Australia,PTJ
Portland (ME),USA,PWM
Portland International (OR),USA,PDX
Port Lincoln,Australia,PLO
Port Macquarie,Australia,PQQ
"Port Menier, PQ",Canada,YPN
Port Moresby - Jackson Field,Papua New Guinea,POM
Porto,Portugal,OPO
Porto Alegre - Salgado Filho International Airport,Brazil,POA
Port of Spain - Piarco International,Trinidad and Tobago,POS
Port Said,Egypt,PSD
Porto Santo,Portugal,PXO
Porto Velho,Brazil,PVH
Port Vila,Vanuatu,VLI
Poughkeepsie (NY),USA,POU
"Poznan, Lawica",Poland,POZ
Prague - Václav Havel Airport (formerly Ruzyne),Czech Republic,PRG
Praia - Nelson Mandela International Airport,Cape Verde,RAI
Presque Island (ME),USA,PQI
Pretoria - Wonderboom Apt.,South Africa,PRY
Preveza/Lefkas,Greece,PVK
Prince George,Canada,YXS
Prince Rupert/Digby Island,Canada,YPR
Pristina,Serbia,PRN
Prosperpine,Australia,PPP
Providence (RI),USA,PVD
Prudhoe Bay (AK),USA,SCC
Puebla,Mexico,PBC
Pueblo (CO),USA,PUB
Puerto Escondido,Mexico,PXM
Puerto Ordaz,Venezuela,PZO
Puerto Plata,Dominican Republic,POP
Puerto Vallarta,Mexico,PVR
Pukatawagan,Canada,XPK
Pula,Croatia (Hrvatska),PUY
Pullman (WA),USA,PUW
Pune,"India, Maharashtra",PNQ
Punta Arenas - Presidente Carlos Ibáñez del Campo,Chile,PUQ
Punta Cana - Punta Cana International,Dominican Republic,PUJ
Pu San (Busan) - Gimhae International Airport,South Korea,PUS
Pyongyang - Sunan International Airport,North Korea,FNJ
