Airport,Country,IATA code
Rabat - Rabat-Salé Airport,Morocco,RBA
Rahim Yar Khan - Shaikh Zayed International Airport,Pakistan,RYK
Raiatea,French Polynesia,RFP
"Rainbow Lake, AB",Canada,YOP
Rajkot,India,RAJ
Raleigh/Durham (NC),USA,RDU
Ranchi,India,IXR
Rangiroa,French Polynesia,RGI
Rangoon (Yangon) - Mingaladon,Myanmar,RGN
Rapid City (SD),USA,RAP
Rarotonga,Cook Island,RAR
Ras al Khaymah (Ras al Khaimah),United Arab Emirates,RKT
Rawala Kot,Pakistan,RAZ
Rawalpindi,Pakistan,RWP
Reading (PA),USA,RDG
Recife - Guararapes-Gilberto Freyre International,Brazil,REC
Redding (CA),USA,RDD
Redmond (OR),USA,RDM
Reggio Calabria,Italy,REG
Regina,Canada,YQR
Reina Sofia,Teneriffa/Spain,TFS
Rennes,France,RNS
Reno (NV),USA,RNO
Resolute Bay,Canada,YRB
Reus,Spain,REU
Reykjavik - Metropolitan Area,Iceland,REK
Reykjavik - Keflavik International,Iceland,KEF
Rhinelander (WI),USA,RHI
Rhodos,Greece,RHO
Richards Bay,South Africa,RCB
Richmond (VA),USA,RIC
Riga,Latvia,RIX
Rijeka,Croatia (Hrvatska),RJK
Rimini,Italy,RMI
Rio Branco - Plácido de Castro International Airport,Brazil,RBR
Rio de Janeiro - Galeao,Brazil,GIG
Rio de Janeiro - Santos Dumont,Brazil,SDU
Rio de Janeiro,Brazil,RIO
Riyadh - King Khaled International,Saudi Arabia,RUH
Roanne,France,RNE
Roanoke (VA),USA,ROA
Roatan,Honduras,RTB
Rochester (MN),USA,RST
Rochester (NY),USA,ROC
Rock Sound,Bahamas,RSD
Rock Springs (WY),USA,RKS
Rockford (IL),USA,RFD
Rockhampton,Australia,ROK
Rockland (ME),USA,RKD
Rocky Mount - Wilson (NC),USA,RWI
Rodez,France,RDZ
Rodrigues Island,Mauritius,RRG
Roenne,Denmark,RNN
Rome,Italy,ROM
Rome - Ciampino,Italy,CIA
Rome - Fuimicino,Italy,FCO
Ronneby,Sweden,RNB
Rosario,Argentina,ROS
Rostov-on-Don - Rostov-on-Don Airport,Russia,RVI
Rostov-on-Don - Platov International Airport,Russia,ROV
Rotorua,New Zealand,ROT
Rotterdam,Netherlands,RTM
Rovaniemi,Finland,RVN
Rundu,Namibia,NDU
Ruse,Bulgaria,ROU
