Airport,Country,IATA code
Saarbruecken,Germany,SCN
Sacramento (CA),USA,SMF
Sado Shima,Japan,SDS
Saginaw/Bay City/Midland (MI),USA,MBS
Saidu Sharif,Pakistan,SDT
Saigon (Ho Chi Minh City) - Tan Son Nhat International,Viet Nam,SGN
Saint Brieuc,France,SBK
Saint Denis - Roland Garros Airport,Reunion,RUN
Saint John,Canada,YSJ
Saipan,Northern Mariana Islands,SPN
Sal,Cape Verde,SID
Salalah,Oman,SLL
Salem (OR),USA,SLE
Salinas (CA),USA,SNS
Salinas,Ecuador,SNC
Salisbury,Zimbabwe,SAY
Salisbury (MD),USA,SBY
Saloniki,Greece,SKG
"Salta, Gen Belgrano",Argentina,SLA
Salt Lake City (UT),USA,SLC
Salvador - Salvador International Airport,Brazil,SSA
Salzburg - W.A. Mozart,Austria,SZG
Samara - Kurumoch International Airport,Russia,KUF
Samarkand - Samarkand International Airport,Uzbekistan,SKD
Samos,Greece,SMI
Samsun,Turkey,SZF
San Andres,Colombia,ADZ
San Angelo (TX),USA,SJT
San Antonio (TX),USA,SAT
San Carlos de Bariloche,Argentina,BRC
San Diego - Lindberg Field International (CA),USA,SAN
"San Francisco - International Airport, SA",USA,SFO
San Jose Cabo,Mexico,SJD
San Jose,Costa Rica,SJO
San Jose (CA),USA,SJC
San Juan - Luis Munoz Marin International Airport,Puerto Rico,SJU
San Luis Obisco (CA),USA,SBP
San Luis Potosi,Mexico,SLP
San Pedro,Cote d'Ivoire,SPY
San Pedro Sula,Honduras,SAP
San Salvador,Bahamas,ZSA
San Salvador,El Salvador,SAL
San Sebastian,Spain,EAS
Sanaa (Sana'a) - Sana'a International,Yemen,SAH
Sandspit,Canada,YZP
Santa Ana - John Wayne Airport (CA),USA,SNA
Santa Barbara (CA),USA,SBA
Santa Cruz de la Palma,Spain,SPC
Santa Cruz de la Sierra,Bolivia,SRZ
Santa Katarina - Mount Sinai,Egypt,SKV
Santa Maria,Portugal,SMA
Santa Maria (CA),USA,SMX
Santander,Spain,SDR
Santa Rosa (CA),USA,STS
Santa Rosa,Bolivia,SRB
Santa Rosa,Brazil,SRA
Santa Rosa,Argentina,RSA
"Santa Rosa, Copan",Honduras,SDH
Santa Rosalia,Colombia,SSL
Santa Rosalia,Mexico,SRL
Santiago - Antonio Maceo Airport,Cuba,SCU
Santiago de Chile - Arturo Merino Benitez,Chile,SCL
Santiago de Compostela,Spain,SCQ
Santo,Vanuatu,SON
Santo Domingo,Dominican Republic,SDQ
Sao Luis - Marechal Cunha Machado International,Brazil,SLZ
Sao Paulo,Brazil,SAO
Sao Paulo - Congonhas,Brazil,CGH
Sao Paulo - Guarulhos,Brazil,GRU
Sao Paulo - Viracopos,Brazil,VCP
Sao Tome,Sao Tome & Principe,TMS
Sapporo,"Hokkaido, Japan",SPK
Sapporo - Okadama,"Hokkaido, Japan",OKD
Sapporo - New Chitose Airport,Japan,CTS
Sarajevo,Bosnia and Herzegovina,SJJ
Saransk - Saransk Airport,Russia,SKX
Sarasota/Bradenton (FL),USA,SRQ
Saskatoon,Canada,YXE
Sassandra,Cote d'Ivoire,ZSS
Savannah (GA),USA,SAV
Savonlinna,Finland,SVL
Scarborough - Crown Point International,Trinidad and Tobago,TAB
Scone,Australia,NSO
Scottsdale (AZ),USA,SCF
Seattle/Tacoma (WA),USA,SEA
Sehba,Libya,SEB
Seinaejoki,Finland,SJY
Selibi Phikwe,Botswana,PKW
Sendai,Japan,SDJ
Seoul - Incheon International Airport,South Korea,ICN
Seoul - Kimpo,South Korea,SEL
Sevilla,Spain,SVQ
Sfax,Tunisia,SFA
"Shamattawa, MB",Canada,ZTM
Shanghai - Hongqiao,China,SHA
Shanghai - Pu Dong,China,PVG
Shannon (Limerick),Ireland,SNN
Sharjah,United Arab Emirates,SHJ
Sharm El Sheikh,Egypt,SSH
