Airport,Country,IATA code
Tabuk,Saudi Arabia,TUU
Taif,Saudi Arabia,TIF
Taipei - Chiang Kai Shek,Taiwan,TPE
Taipei - Sung Shan,Taiwan,TAY
Taiyuan,"Shanxi, PR China",TYN
Takamatsu,Japan,TAK
Talkeetna (AK),USA,TKA
Tallahassee (FL),USA,TLH
Tallinn - Pirita Harbour,Estonia,QUF
Tallinn - Ulemiste,Estonia,TLL
Tampa - International (FL),USA,TPA
Tampere,Finland,TMP
Tampico - Gen. F. Javier Mina,Mexico,TAM
Tamworth,Australia,TMW
Tangier - Boukhalef,Morocco,TNG
Taree,Australia,TRO
Targovishte,Bulgaria,TGV
Tashkent - International,Uzbekistan,TAS
Tawau,Malaysia,TWU
Tbilisi - Novo Alexeyevka,Georgia,TBS
Te Anau,New Zealand,TEU
"Teesside, Durham Tees Valley",United Kingdom,MME
Tegucigalpa,Honduras,TGU
Tehran (Teheran) - Mehrabad,Iran,THR
Tekirdag - Corlu,Turkey,TEQ
Tel Aviv - Ben Gurion International,Israel,TLV
Telluride (CO),USA,TEX
Temora,Australia,TEM
Tenerife,Spain,TCI
Tenerife - Sur Reina Sofia,Spain,TFS
Tenerife - Norte Los Rodeos,Spain,TFN
Tennant Creek,Australia,TCA
Terceira,Portugal,TER
Teresina,Brazil,THE
Termez (Termes),Uzbekistan,TMZ
Terrace,Canada,YXT
Terre Haute (IN),USA,HUF
Texarkana (AR),USA,TXK
Thaba'Nchu,South Africa,TCU
The Pas,Canada,YQD
Thessaloniki - Makedonia Apt.,Greece,SKG
Thief River Falls (MN),USA,TVF
Thira,Greece,JTR
Thiruvananthapuram,India,TRV
Thisted,Denmark,TED
Thompson,Canada,YTH
Thorne Bay (AK),USA,KTB
Thunder Bay,Canada,YQT
Thursday Island,Australia,TIS
Tianjin,China,TSN
Tijuana - Rodriguez,Mexico,TIJ
Tioman,Indonesia,TOD
Tirana - Rinas,Albania,TIA
Tiruchirapally,India,TRZ
Tivat,Montenegro,TIV
Tobago,Trinidad and Tobago,TAB
Tokushima,Japan,TKS
Tokyo,Japan,TYO
Tokyo - Haneda,Japan,HND
Tokyo - Narita,Japan,NRT
Toledo (OH),USA,TOL
Tom Price,Australia,TPR
Toowoomba,Australia,TWB
Toronto - Billy Bishop Toronto City Airport,Canada,YTZ
Toronto - Toronto Pearson International Airport,Canada,YYZ
Toronto,Canada,YTO
Tortola,British Virgin Islands,TOV
Touho,New Caledonia,TOU
Toulouse - Blagnac Airport,France,TLS
Townsville,Australia,TSV
Toyama,Japan,TOY
Trabzon,Turkey,TZX
Trapani,Italy,TPS
Traverse City (MI),USA,TVC
Treasure Cay,Bahamas,TCB
Trenton/Princeton (NJ),USA,TTN
Treviso,Italy,TSF
Tri-Cities Regional (TN) /VA,USA,TRI
Trieste,Italy,TRS
Tripoli - Tripoli International,Libya,TIP
Tromsoe,Norway,TOS
Trondheim,Norway,TRD
Tsumeb,Namibia,TSB
Tucson (AZ),USA,TUS
Tulepo (MS),USA,TUP
Tulsa (OK),USA,TUL
Tunis - Carthage,Tunisia,TUN
Turbat,Pakistan,TUK
Turin,Italy,TRN
Turku,Finland,TKU
Tuscaloosa (AL),USA,TCL
Tuxtla Gutierrez,Mexico,TGZ
Twin Falls (ID),USA,TWF
Tyler (TX),USA,TYR
