Airport,Country,IATA code
Vaasa,Finland,VAA
Vaexjoe,Sweden,VXO
Vail (CO),USA,EGE
Val d'Or,Canada,YVO
Valdez (AK),USA,VDZ
Valdosta (GA),USA,VLD
Valencia,Spain,VLC
Valencia,Venezuela,VLN
Valladolid,Spain,VLL
Valparaiso,Chile,VAP
Valverde,Spain,VDE
Van - Ferit Melen,Turkey,VAN
Vancouver - Vancouver International,Canada,YVR
Varadero,Cuba,VRA
Varanasi,India,VNS
Varkaus,Finland,VRK
Varna,Bulgaria,VAR
Vasteras,Sweden,VST
Velikiye Luki (Welikije Luki),Russia,VLU
Venice - Marco Polo,Italy,VCE
Veracruz,Mexico,VER
Vernal (UT),USA,VEL
Vero Beach/Ft. Pierce (FL),USA,VRB
Verona (Brescia) Montichiari,Italy,VBS
Verona,Italy,VRN
Victoria,Canada,YYJ
Victoria Falls,Zimbabwe,VFA
Vidin,Bulgaria,VID
Vientiane - Wattay,Lao PDR,VTE
Vigo,Spain,VGO
Villahermosa,Mexico,VSA
Vilnius,Lithuania,VNO
Virgin Gorda,Virgin Islands (British),VIJ
Visalia (CA),USA,VIS
Visby,Sweden,VBY
Vitoria,Spain,VIT
Vitoria - Eurico de Aguiar Salles Airport,Brazil,VIX
Vryheid,South Africa,VYD
