Airport,Country,IATA code
Wabush,Canada,YWK
Waco (TX),USA,ACT
Wagga,Australia,WGA
Walla Walla (WA),USA,ALW
Wallis,Wallis and Futuna Islands,WLS
Walvis Bay,South Africa,WVB
Warrnambool,Australia,WMB
Warsaw - Frédéric Chopin,Poland,WAW
Washington DC - Baltimore Washington International,USA,BWI
Washington DC - Dulles International,USA,IAD
Washington DC - Ronald Reagan National,USA,DCA
Washington DC,USA,WAS
Waterloo IA,USA,ALO
Watertown (SD),USA,ATY
Wausau/Stevens Point (WI),USA,CWA
Weipa,Australia,WEI
Welkom,South Africa,WEL
Wellington,New Zealand,WLG
Wenatchee (WA),USA,EAT
West Palm Beach (FL),USA,PBI
West Yellowstone (MT),USA,WYS
"Westerland, Sylt Airport",Germany,GWT
Whakatane,New Zealand,WHK
"Whale Cove, NT",Canada,YXN
Whangarei,New Zealand,WRE
White Plains (NY),USA,HPN
Whitehorse,Canada,YXY
Whitsunday Resort,Australia,HAP
Whyalla,Australia,WYA
Wichita Falls (TX),USA,SPS
Wichita (KS),USA,ICT
Wick,United Kingdom,WIC
Wickham,Australia,WHM
Wien (Vienna) - Vienna International,Austria,VIE
"Wiesbaden, Air Base",Germany,WIE
Wilkes Barre/Scranton (PA),USA,AVP
Williamsport (PA),USA,IPT
Williston (ND),USA,ISL
Wilmington (NC),USA,ILM
Wilna (Vilnius),Lithuania,VNO
Wiluna,Australia,WUN
Windhoek - Eros,Namibia,ERS
Windhoek - Hosea Kutako International,Namibia,WDH
Windsor Ontario,Canada,YQG
Winnipeg International,Canada,YWG
Wolf Point (MT),USA,OLF
Wollongong,Australia,WOL
Woomera,Australia,UMR
Worcester (MA),USA,ORH
Worland (WY),USA,WRL
Wrangell (AK),USA,WRG
Wuhan,"Hubei, PR China",WUH
Wyndham,Australia,WYN
