Airport,Country,IATA code
Xiamen,"Fujian, PR China",XMN
Xi'an - Xianyang,"Shaanxi, PR China",XIY
Yakima (WA),USA,YKM
Yakutat (AK),USA,YAK
Yakutsk,Russia,YKS
"Yamagata, Junmachi",Japan,GAJ
Yamoussoukro,Côte d'Ivoire,ASK
Yanbu,Saudi Arabia,YNB
Yangon (Rangoon) - Mingaladon,Myanmar,RGN
Yaounde,Cameroon,YAO
Yellowknife,Canada,YZF
Yekaterinburg - Koltsovo Airport,Russia,SVX
Yichang,"Hubei, PR China",YIH
Yokohama,Japan,YOK
Yuma (AZ),USA,YUM
Zacatecas,Mexico,ZCL
Zadar,Croatia (Hrvatska),ZAD
Zagreb - Zagreb Airport Pleso,Croatia (Hrvatska),ZAG
Zakynthos,Greece,ZTH
Zaragoza,Spain,ZAZ
Zhob,Pakistan,PZH
Zinder,Niger,ZND
Zouerate,Mauritania,OUZ
Zurich (Zürich) - Kloten,Switzerland,ZRH
